FunctionType, class, threshold, # of collapse, probability, start, end
Suspension, lower, 500, 1, 0.075, 0, 1
Suspension, lower, 500, 1, 0.075, -1, 0
Suspension, lower, 500, 2, 0.35, -1, 1
Suspension, lower, 500, 3, 0.025, -1, 2
Suspension, lower, 500, 3, 0.025, -2, 1
Suspension, lower, 500, 4, 0.10, -2, 2
Strain, low, containment, 2, 0.05, -1, 1
Strain, low, containment, 4, 0.08, -2, 2
Strain, low, containment, 6, 0.10, -3, 3
Strain, low, containment, 8, 0.08, -4, 4
Strain, low, containment, 10, 0.05, -5, 5
Strain, low, containment, 12, 0.62, -6, 6
