Station,Time,Longitude,Latitude,Speed,UU,VV,Bearing,Pressure,Mh,Mhopp
AC-001,2014-07-15 23:35,120.93464, 14.19606, 65.18,-60.12, 43.11,125.64,98281.78,  1.00000,  1.00832
AC-002,2014-07-15 23:50,120.93244, 14.19575, 51.12,-48.14, 53.52,138.03,98279.90,  1.00000,  1.12596
AC-003,2014-07-15 23:35,120.93015, 14.19458, 62.98,-60.12, 43.11,125.64,98281.78,  1.00000,  1.00208
AC-004,2014-07-15 23:50,120.92794, 14.19345, 61.68,-50.55, 51.60,135.59,98111.22,  1.00000,  1.00013
AC-005,2014-07-15 23:30,120.92589, 14.19041, 62.29,-65.21, 35.13,118.31,98229.76,  1.00000,  1.05113
AC-006,2014-07-15 23:30,120.92392, 14.18745, 62.38,-64.30, 37.23,120.07,98016.26,  1.02673,  1.00000
AC-007,2014-07-15 23:35,120.92235, 14.18508, 62.75,-60.89, 42.32,124.80,97952.27,  1.00000,  1.03320
AC-008,2014-07-15 23:30,120.92058, 14.18261, 61.51,-64.30, 37.23,120.07,98016.26,  1.00000,  1.00000
AC-009,2014-07-15 23:35,120.91892, 14.18033, 60.76,-60.89, 42.32,124.80,97952.27,  1.00000,  1.00227
AC-010,2014-07-15 23:45,120.91735, 14.17811, 58.56,-52.29, 51.00,134.28,97921.02,  1.00000,  1.00000
AC-011,2014-07-15 23:35,120.91595, 14.17616, 59.79,-60.89, 42.32,124.80,97952.27,  1.00000,  1.06187
AC-012,2014-07-15 23:50,120.91449, 14.17413, 75.06,-47.69, 54.16,138.63,97946.75,  1.17465,  1.01373
AC-013,2014-07-15 23:30,120.91225, 14.17101, 61.84,-64.30, 37.23,120.07,98016.26,  1.01336,  1.00664
AC-014,2014-07-15 23:25,120.91024, 14.16814, 60.96,-65.99, 33.84,117.15,97889.90,  1.00000,  1.01190
AC-015,2014-07-15 23:25,120.90828, 14.16530, 60.86,-67.64, 29.30,113.42,97794.00,  1.00000,  1.02398
AC-016,2014-07-15 23:35,120.90669, 14.16299, 62.84,-60.99, 40.73,123.74,97588.55,  1.01499,  1.01502
AC-017,2014-07-15 23:25,120.90486, 14.16032, 61.18,-67.64, 29.30,113.42,97794.00,  1.00000,  1.00000
AC-018,2014-07-15 23:50,120.90301, 14.15772, 61.04,-46.46, 54.13,139.36,97577.83,  1.00000,  1.00484
AC-019,2014-07-15 23:45,120.90122, 14.15519, 68.97,-51.49, 50.52,134.46,97547.34,  1.11855,  1.00048
AC-020,2014-07-15 23:25,120.89980, 14.15323, 61.00,-67.64, 29.30,113.42,97794.00,  1.00000,  1.01918
AC-021,2014-07-15 23:20,120.89832, 14.15114, 61.08,-69.44, 23.87,108.97,97961.50,  1.00000,  1.04049
AC-022,2014-07-15 23:25,120.89665, 14.14880, 60.74,-66.21, 30.97,115.07,97539.27,  1.00000,  1.00000
AC-023,2014-07-15 23:45,120.89506, 14.14655, 62.82,-47.63, 52.92,138.01,97354.86,  1.00000,  1.00000
AC-024,2014-07-15 23:30,120.89362, 14.14453, 59.62,-62.67, 37.09,120.62,97420.22,  1.04155,  1.11165
AC-025,2014-07-15 23:20,120.89110, 14.14097, 59.40,-68.66, 25.18,110.14,97708.96,  1.00000,  1.04552
AC-026,2014-07-15 23:50,120.88923, 14.13824, 71.86,-44.30, 53.27,140.25,97182.87,  1.00883,  1.00117
AC-027,2014-07-15 23:45,120.88720, 14.13532, 61.41,-49.79, 49.17,134.64,97147.88,  1.19840,  1.00000
AC-028,2014-07-15 23:50,120.88566, 14.13310, 55.14,-44.30, 53.27,140.25,97182.87,  1.00000,  1.00700
AC-029,2014-07-15 23:20,120.88416, 14.13093, 59.02,-69.70, 19.94,105.96,97647.59,  1.00000,  1.00645
AC-030,2014-07-15 23:10,120.88240, 14.12841, 60.52,-70.40, 10.60, 98.56,97823.81,  1.00000,  1.06239
AC-031,2014-07-15 23:45,120.87986, 14.12560, 56.56,-45.07, 51.40,138.75,96952.99,  1.06416,  1.00917
AC-032,2014-07-15 23:40,120.87782, 14.12378, 58.98,-51.24, 46.10,131.98,96930.55,  1.00000,  1.04798
AC-033,2014-07-15 23:40,120.87592, 14.12210, 50.24,-51.24, 46.10,131.98,96930.55,  1.00000,  1.00202
AC-034,2014-07-15 23:40,120.87365, 14.12013, 56.10,-51.24, 46.10,131.98,96930.55,  1.00000,  1.00000
AC-035,2014-07-15 23:15,120.87137, 14.11814, 61.86,-69.90, 15.24,102.30,97583.63,  1.00000,  1.09280
AC-036,2014-07-16 01:10,120.86830, 14.11547, 49.18,  0.16, 63.91,180.14,98471.96,  1.00000,  1.16981
AC-037,2014-07-15 23:15,120.86735, 14.11266, 59.84,-70.18,  9.61, 97.80,97565.26,  1.00000,  1.00000
AC-038,2014-07-15 23:45,120.86782, 14.10879, 60.16,-41.37, 48.83,139.73,96573.81,  1.01790,  1.00000
AC-039,2014-07-15 23:00,120.86812, 14.10640, 59.90,-68.41, -1.53, 88.72,98086.86,  1.00000,  1.06228
AC-040,2014-07-15 23:00,120.86862, 14.10230, 59.05,-68.41, -1.53, 88.72,98086.86,  1.01943,  1.00057
